,section_title,target
112,пожелания к кандидату,1
113,должностные обязанности,0
114,требования к соискателю ,1
115,наши условия,3
116,особенности проекта,6
117,для работы требуются навыки и умения,1
118,основные задачи,0
119,мы ищем человека который,1
120,требования,1
121,задачи в рамках работы с проектами на стадии пресейла,0
122,задачи в рамках работы с проектами в разработке,0
123,что мы ожидаем от нашего будущего коллеги аналитика,1
124,возможности обучения и роста,3
125,возможности посещения и участия в мероприятиях,3
126,основные направления деятельности,0
127,более 80% клиентов приходят к нам по рекомендациям. это требует от нашей команды высокого профессионализма и ответственности поэтому мы,6
128,вы нам подходите если,1
129,основная обязанность – обеспечение высокого качества приложения. для этого потребуется,0
130,требования к кандидату,1
131,условия труда,4
132,вам предстоит ,0
133,будет являться ваши преимуществом ,2
134,чем предстоит заниматься ,0
135,об идеалах,6
136,большое счастье если ты хочешь использовать,6
137,замечательно если ты,2
138,а что может предложить компания ,3
139,работа в mail.ru group  это,3
140,livejournal livejournal.com  cамая популярная блог – платформа в россии и в мире ведущее социальное медиа с авторскими качественными репортажами и актуальными новостями от очевидцев событий живое общение авторов с читателями,6
141,системному администратору предстоит,6
142,что мы ожидаем от кандидата,1
143,мы с радостью предложим,3
144,с первого взгляда проект может показаться простым но при погружении в детали  здесь много задач. вот пример сервисов которые мы написали с нуля,6
145,пара слов о нашем стеке технологий как правило используем последние версии,5
146,что надо будет делать на данной позиции в основе,0
147,в опыте кандидата хотелось бы видеть,1
148,какие личностные качества мы ищем в кандидате,1
149,наши пожелания чем больше из этого вы умеете тем лучше ,2
150,вам понадобятся,1
151,график работы,4
152,будущие задачи,0
153,в работе пригодятся,1
154,будут плюсом ,2
155,варианты обучения и развития ,3
156,корпоративное сообщество спортсменов,6
157,что мы вам доверим,6
158,какие навыки для этого потребуются,1
159,если не знаком не страшно но так или иначе придётся разобраться,6
160,что нужно делать,0
161,что тебя ждет,0
162,что мы ждем,1
163,плюсом будут,2
164,зачем тебе работать с нами,3
165,чем ты будешь владеть работая с нами,3
166,java .net разные фреймворки sql python nginx микросервисы ws soap rest powershell bash docker gitlab ansible maven camunda kubernetes openshift rancher helm active directory dns dhcp zabbix iis apache tomcat apache ee и другими,6
167,что требуется от тебя,1
168,как попасть к нам в команду,6
169,что тебе даст работа у нас,3
170,чем вам предстоит заниматься,0
171,мы ожидаем,1
172,как плюс,2
173,для работы необходимы,1
174,желательные навыки,2
175,и кроме того,6
176,требования к искомому работнику на должность программист – трейдер алгоритмическая торговля,1
177,основные обязанности,0
178,будет преимуществом,2
179,functions,0
180,skills,1
181,will be a plus,2
182,personal qualities,1
183,#infowatchfamily предлагает,3
184,задачи которые необходимо закрывать,0
185,знания которые необходимы чтобы реализовывать наши задачи,1
186,какой опыт мы хотим видеть от кандидата,1
187,почему у нас отлично работать,3
188,в авито вас ждёт,3
189,необязательно но круто если вы,2
190,общие требования,1
191,обязательные требования,1
192,requirements for the candidate,1
193,what would be great,2
194,we offer,3
195,ищем специалиста по автоматизированному тестированию который будет заниматься,6
196,что нужно знать,1
197,хорошо если есть,2
198,ну и стандартные бонусы от банка,3
199,какие задачи вас ждут,0
200,что мы ждём от разработчика,1
201,будет дополнительным преимуществом знакомство с,2
202,основные инструменты и технологии которые используем,5
203,обязательно чтобы у вас были,1
204,будет плюсом если вы,2
205,приятные бонусы,2
206,что мы делаем ,3
207,преимуществом будет,2
208,в команду ruform ищем devops инженера.задачи,0
209,ожидания от кандидата,1
210,чем вы будете заниматься ,0
211,эта вакансия для вас если вы имеете,1
212,humans ценит каждого сотрудника и предлагает комфортные условия работы,3
213,какие ml ые задачи перед нами стоят,0
214,какие инженерные задачи перед нами стоят,0
215,наш будущий коллега выглядит так в нашем идеальном мире,1
216,наш текущий стек технологий,5
217,работа должна быть в удовольствие поэтому ты получаешь,3
218,приветствуется,2
219,наш стек,5
220,тебе предстоит,0
221,мы ждём от тебя,1
222,зачем тебе к нам,3
223,эти задачи могут стать твоими,0
224,➤ оплата за отклик  специалисты платят небольшую сумму запредложение своих услуг клиентам.➤ абонемент на отправку откликов  специалист может оплатить сразумного откликов и сэкономить.➤ оплата за контакты клиента. специалист может бесплатно уточнитьдетали заказа в чате. деньги списываются если клиент и специалистобмениваются номерами телефонов.,6
225,что нужно чтобы к нам присоединиться,6
226,что мы за это предлагаем,3
227,дополнительные требования,1
228,3d аниматор в нашей команде,0
229,наши пожелания к специалисту,1
230,что мы можем вам предложить,3
231,в твои обязанности будет входить,0
232,тебе нужно уметь,1
233,мы предлагаем следующие задачи,0
234,мы хотим видеть в вашем опыте,1
235,от нас,3
236,факты о компании,6
237,то что мы ценим в вас,1
238,мы будем рады видеть тебя в нашей команде если у тебя есть,1
239,плюсами будет,2
240,что надо делать,0
241,мы ждем от тебя,1
242,предстоящие задачи,0
243,ожидаем от кандидата,1
244,мы используем,5
245,у вас есть,1
246,as a software development engineer in test at fivetran you will,0
247,your superpowers,1
248,perks of working with us,3
249,обязательно,1
250,у нас,3
251,что надо будет делать,0
252,что у нас интересного,3
253,myteam  b2b мессенджер с on premise версией https biz.mail.ru myteam .icq  b2c мессенджер с фокусом на ml и ar умными ответами в чате подсказками стикеров распознаванием голосовых сообщений и масками в видеозвонках. у нас есть,3
254,мы ищем android разработчика в команду на задачи,6
255,для нас важны,1
256,мы делаем акцент на,3
257,работа в mail.ru group ― это,3
258,что мы хотим видеть,1
259,oснoвные oбязaннoсти ,1
260,услoвия,4
261,чтобы стать кандидатом нужно,6
262,плюсы для вас,3
263,вам как инженеру разработчику предстоит,0
264,обязательные требования ,1
265,желательны ,2
266,функционал,0
267,английский на уровне свободного чтения и понимания документации.,1
268,используемые технологииjava 11 gradle junit 5 rest assured selenium selenoid allure git bitbucket teamcity nexus,5
269,что мы ожидаем от вас,1
270,с чем предстоит работать,0
271,в наши обязанности входит,0
272,описание требований к кандидатам,1
273,мы ищем кандидата с более чем 7 летним опытом full stack разработки с упором на java  spring,1
274,что предлагаем,3
275,clearscale is looking for an experienced senior level expected full stack application developer. you will become part of a mid sized distributed engineering team that is responsible for preparing infrastructure designing application architecture implementing and stabilizing program code running load tests optimizing performance and providing operational support,0
276,we are looking for a candidate with 7+ years of full stack application development experience focusing on java spring and custom software development projects,1
277,what we offer,3
278,софттелематика  российский разработчик интеллектуальных телематических систем и транспортно логистических платформ.,3
279,наша команда,3
280,сейчас мы ждем инженера devops от уровня junior++ для работы над задачами,0
281,тебе к нам если ты знаешь,1
282,будут полезны,2
283,наш инженер devops,0
284,причины по которым у нас хорошо,3
285,что мы используем,5
286,мы хотим видеть тебя в своей команде если ты,1
287,и особенно если,6
288,какие задачи мы решаем,0
289,в идеальном мире рассматриваем кандидатов и без данных навыков,6
290,предлагаем,3
291,немного о задачах,0
292,мы хотим познакомиться с тобой если,1
293,что предоставим мы,3
294,responsibilities,0
295,qualifications,1
296,ключевые навыки,1
297,essentials duties & responsibilities,0
298,requirements,1
299,benefit package,3
