,vacancy_id,section_id,section_title,section_body,target
68,38304560,2,начало ждать переезд поддомен help.tinkoff.ru,переписать бэкенд помощь админка точно прийтись отталкиваться требование старый код,1
69,38304560,2,начало ждать переезд поддомен help.tinkoff.ru,работать гибкий процесс разработка декомпозировать оценивать задача планировать спринт проводить,1
70,38304560,2,начало ждать переезд поддомен help.tinkoff.ru,общаться продакт бэкендер помощь дизайнер тестировщик специалист безопасность коллега тинькофф,1
71,38304560,2,начало ждать переезд поддомен help.tinkoff.ru,запуск прод пройти ревь отдел безопасность веб приложение тестирование команда,1
72,38304560,2,начало ждать переезд поддомен help.tinkoff.ru,запуск поддерживать проект выводить состояние MVP,1
73,38304560,3,почему это крутой,запустить проект внутри тинькофф ру путь принять интересный сложный технический,3
74,38304560,3,почему это крутой,приложение серьезный требование получить опыт работа высокий нагрузка отказоустойчивость получиться,3
75,38304560,3,почему это крутой,поработать небольшой автономный команда пожар бюрократия план итерация выстроить процесс,3
76,38304560,3,почему это крутой,делать продукт который полезный ваш близкий сотня тысяча клиент тинькофф,3
77,38304560,4,требование,уверенно владеть стэк основа язык Python Golang Rust Scala JS+TS,1
78,38304560,4,требование,знакомый паттерный проектирование синглтон адаптер,1
79,38304560,4,требование,разрабатывать API использовать спецификация OpenAPI,1
80,38304560,4,требование,знать основа микросервисный архитектура,1
81,38304560,4,требование,иметь опыт оптимизация приложение,1
82,38304560,4,требование,уметь писать unit тест,1
83,38304560,5,условие,профессиональный развитие проводить митап тренинг мастер класс огромный tech библиотека,4
84,38304560,5,условие,бесплатный вкусный обед уютный Tinkoff.сafe чай кофе фрукт кухня каждый,4
85,38304560,5,условие,забота здоровье полис дмс страховка несчастный случай льготный условие страхование,4
86,38304560,5,условие,занятие бесплатный фитнес зал Tinkoff.,4
87,38304560,5,условие,работа комфортный офис 5 минута пешком маротра динамо,4
88,38304560,5,условие,достойный твой профессиональный уровень зарплата размер обсудить собеседование,4
93,38487280,1,ключевой задача,построение непрерывный интеграция доставка CI CD,0
94,38487280,1,ключевой задача,администрирование настройка Linux система RHEL CentOS Debian,0
95,38487280,1,ключевой задача,администрирование HTTP сервер Nginx Apache HTTP Server,0
96,38487280,1,ключевой задача,написание работа SQL запрос PostgreSQL MySQL,0
97,38487280,1,ключевой задача,администрирование сервер приложение PHP FPM PHP Node.Js Redis RabbitMQ,0
98,38487280,1,ключевой задача,опыт работа система контроль версия Oit,0
99,38487280,1,ключевой задача,мониторинг доступность производительность создание проверка система мониторинг Zabbix,0
100,38487280,1,ключевой задача,автоматизация задача скриптовый язык Bash sh,0
101,38487280,2,важный,знание Linux система уровень администратор RHEL CentOS,1
102,38487280,2,важный,опыт построение непрерывный интеграция доставка CI CD,1
103,38487280,2,важный,опыт поддержка прикладной система PHP FPM PHP Node.Js Redis Nginx,1
104,38487280,2,важный,умение писать запрос работать субд PostgreSQL MySQL,1
105,38487280,2,важный,умение писать скриптовый язык Bash sh,1
106,38487280,2,важный,умение читать технический литература английский язык,1
107,38487280,2,важный,базовый знание Windows,1
108,38487280,3,плюс,знание Agile подход,2
109,38487280,3,плюс,опыт написание скрипт язык Python,2
110,38487280,3,плюс,администрирование опыт работа Apache ActiveMQ Tomcat,2
111,38487280,3,плюс,умение читать код,2
112,38487280,4,предлагать,реализовать свой потенциал создание развитие современный ит решение точно скучный,3
113,38487280,4,предлагать,конкурентный условие оплата труд фиксировать доход обсуждать результат собеседование годовой,3
114,38487280,4,предлагать,возможность карьерный профессиональный рост,3
115,38487280,4,предлагать,дмс прохождение испытательный срок,3
116,38487280,4,предлагать,корпоративный обучение,3
117,38487280,4,предлагать,оформление согласно тк рф,3
118,38487280,4,предлагать,возможность удалить работа,3
119,38487280,4,предлагать,специальный предложение финансовый продукт компания скидка партнер,3
120,38487280,4,предлагать,график работа 5 2 пн чт 9 00 18 00 пт 9 00,3
121,38487280,4,предлагать,офис экологически чистый район рядом гребной канал зеленый зона рождение,3
122,38487280,4,предлагать,корпоративный транспорт метро полежаевский кунцевский,3
124,38802856,1,каждый процесс компания иметь свой,продажа товар сима карта платеж денежный перевод,1
125,38802856,1,каждый процесс компания иметь свой,заказ интернет магазин,1
126,38802856,1,каждый процесс компания иметь свой,кредитный заявка,1
127,38802856,1,каждый процесс компания иметь свой,работа склад,1
128,38802856,1,каждый процесс компания иметь свой,логистика,1
129,38802856,1,каждый процесс компания иметь свой,клиентский аналитик весь бизнес домен включая лояльность,1
130,38802856,1,каждый процесс компания иметь свой,услуга связный трэвел многое,1
131,38802856,2,1 отладить процесс разработка,постановка ведение задача Jira,1
132,38802856,2,1 отладить процесс разработка,изменение вести система контроль версия Oit использование Bitbucket,1
133,38802856,2,1 отладить процесс разработка,использование flyway накат изменение бд весь этап dev prod,1
134,38802856,2,1 отладить процесс разработка,code review,1
135,38802856,2,1 отладить процесс разработка,code Сtрал,1
136,38802856,3,2 проработать архитектура dwh etl,актуальный схема внутренний слой DWH,1
137,38802856,3,2 проработать архитектура dwh etl,правило создание наименование объект бд,1
138,38802856,3,2 проработать архитектура dwh etl,ет TL процесс писать соответствие общий шаблон,1
139,38802856,4,3 использовать технология,основной часть хранилищ SQL Server,5
140,38802856,4,3 использовать технология,репликация витрина Vertica,5
141,38802856,4,3 использовать технология,SSIS оркестратор etl процесс,5
142,38802856,4,3 использовать технология,использование очередь RabbitMQ брокер сообщение Kafka,5
143,38802856,4,3 использовать технология,Python работа очередь сервис,5
144,38802856,5,4 свежий софт,использовать SQL Server 2017 включая SSIS планировать перейти 2019,1
145,38802856,5,4 свежий софт,Vertica обновить 9.2,1
146,38802856,5,4 свежий софт,любить новый технология стараться использовать это возможно мешать стабильность наш,1
147,38802856,6,требование,аналогичный опыт разработка ETL процесс 2 х год,1
148,38802856,6,требование,понимание технология база данные специфика Микрософт SQL Server,1
149,38802856,6,требование,хороший знание язык T SQL,1
150,38802856,6,требование,базовый знание ооп,1
151,38802856,6,требование,базовый знание Python опыт разработка язык C# Java,1
152,38802856,6,требование,способность оценивать предлагать технический решение,1
153,38802856,6,требование,навык работа команда гибкий методология ведение проект,1
154,38802856,7,обязанность,участие разработка корпоративный DWH,0
155,38802856,7,обязанность,выстраивание процесс взаимодействие различный интерфейс компания MS SQL Oracle PostgreSQL,0
156,38802856,7,обязанность,проектирование разработка новый доработка существовать витрина данные,0
157,38802856,7,обязанность,разработка ETL процедура T SQL Python SSIS,0
158,38802856,7,обязанность,поддержка доработка компонент корпоративный хранилищ данные MS SQL 2017 Vertica,0
159,38802856,7,обязанность,участие задача анализ система источник составление модель данные,0
160,38802856,8,условие,месторасположение офис метро автозаводский бизнес центр симон плаза 7 минута,4
161,38802856,8,условие,высокий уровень оплата труд обсуждать индивидуально успешный кандидат,4
162,38802856,8,условие,оформление тк рф отпуск больничный соцпакет,4
163,38802856,8,условие,профессиональный коллектив возможность развитие,4
164,39005825,0,обязанность,участие предпроектный обследование,0
165,39005825,0,обязанность,разработка проектный решение написание проектный документация установка настройка исб,0
166,39005825,0,обязанность,интеграция йоктосекунда различный источник данные,0
167,39005825,0,обязанность,участие приемой сдаточный испытание информационный система,0
168,39005825,1,требование,теоретический знание практический опыт проектирование администрирование сложный программно аппаратный комплекс,1
169,39005825,1,требование,опыт администрирование Unix Linux опыт работа оса Windows Server,1
170,39005825,1,требование,знание технология сбор данные NiFi Logstash Sqoop др. хранение обработка,1
171,39005825,1,требование,умение проектирование внедрение высоконагруженный система база данные решение,1
172,39005825,1,требование,знание технология контейнеризация Docker,1
173,39005825,1,требование,опыт область сетевой технология,1
174,39005825,1,требование,опыт работа субд написание SQL запрос Python bash powershell JavaScript,1
177,36535379,1,ждеть кандидат,знание Linux уровень администратор система,1
178,36535379,1,ждеть кандидат,понимание работа сеть IP DNS DHCP,1
179,36535379,1,ждеть кандидат,навык написание скрипт bash python,1
180,36535379,1,ждеть кандидат,опыт работа Ansible,1
181,36535379,1,ждеть кандидат,опыт администрирование бд mysql postgresql,1
182,36535379,1,ждеть кандидат,опыт администрирование эксплуатация система мониторинг zabbix prometheus,1
183,36535379,1,ждеть кандидат,опыт настройка администрирование nginx,1
184,36535379,1,ждеть кандидат,опыт работа виртуализация контейнеризация KVMLXC LXDDocker,1
185,36535379,1,ждеть кандидат,понимание базовый принцип безопасность Linux система,1
186,36535379,2,приветствоваться,опыт администрирование веб сервер gunicorn uwsgi mod_wsgi,2
187,36535379,2,приветствоваться,опыт работа настройка алерт,2
188,36535379,2,приветствоваться,опыт работа система бэкапирование baculabareos,2
189,36535379,2,приветствоваться,опыт работа vpn,2
190,36535379,2,приветствоваться,опыт администрирование сервер отправка почта eximpostfix,2
191,36535379,2,приветствоваться,опыт администрирование внтурить сервис sentry redmine gitlab elk,2
192,36535379,2,приветствоваться,опыт отражение DDOS атака,2
193,36535379,2,приветствоваться,опыт настройка эксплуатирование WAF,2
194,36535379,3,большой плюс работать технология перечислить,mongodb,2
195,36535379,3,большой плюс работать технология перечислить,cassandra,2
196,36535379,3,большой плюс работать технология перечислить,kafka,2
197,36535379,3,большой плюс работать технология перечислить,clickhouse,2
198,36535379,3,большой плюс работать технология перечислить,rabbitmq,2
199,36535379,3,большой плюс работать технология перечислить,elasticsearch,2
200,36535379,3,большой плюс работать технология перечислить,minio,2
201,36535379,3,большой плюс работать технология перечислить,ceph,2
202,36535379,3,большой плюс работать технология перечислить,оркестрация kubernetesnomad,2
203,36535379,3,большой плюс работать технология перечислить,istio,2
204,36535379,4,предлагать,тк рф белый прозрачный,3
205,36535379,4,предлагать,расширить дмс стоматология,3
206,36535379,4,предлагать,комфортный офис рядом маротра дмитровский,3
207,36535379,4,предлагать,возможность бесплатно посещать фитнес клуб бассейн 2 минута ходьба работа,3
208,36535379,4,предлагать,завтрак кофе фрукт офис игровой комната playstation кикер,3
209,36535379,4,предлагать,команда поддерживать развитие каждый ставить индивидуальный цель отправлять технический конференция,3
210,36535379,4,предлагать,возможность карьерный рост желание,3
215,37838639,1,работа регулярно встречать взаимодействовать следующий,Platform vanilla OpenStack RDO Tionix,0
216,37838639,1,работа регулярно встречать взаимодействовать следующий,os CentOS Red Hat Ubuntu,0
217,37838639,1,работа регулярно встречать взаимодействовать следующий,Kernel kvm Cgroup namespaces netfilter sysctl scheduling,0
218,37838639,1,работа регулярно встречать взаимодействовать следующий,CI CD Ansible SaltStack Jenkins Gitlab Docker packer Cobbler,0
219,37838639,1,работа регулярно встречать взаимодействовать следующий,Storage Ceph Multipath SAN SDS Clustered FS,0
220,37838639,1,работа регулярно встречать взаимодействовать следующий,Networking routing iptables bonding tcpdump OVS DVR Nuage SDN,0
221,37838639,1,работа регулярно встречать взаимодействовать следующий,Infra DNS NTP DHCP FreeIPA,0
222,37838639,1,работа регулярно встречать взаимодействовать следующий,e.t.c,0
223,37838639,2,задача входить,поддержка существовать инсталляция OpenStack развитие разработка новый сервис,0
224,37838639,2,задача входить,разработка механизм средства автоматизация жизненный цикл платформа гипервизор ванотрание сопровождать,0
225,37838639,2,задача входить,CI CD процесс эксплуатация платформа,0
226,37838639,2,задача входить,поддержка ключевой инфраструктурный сервис DNS NTP DHCP т.д.,0
227,37838639,2,задача входить,поддержка вспомогательный инфраструктурный сервис SaltStack IPA GitLab т.д.,0
228,37838639,2,задача входить,документирование свой работа поддерживать инфраструктура,0
229,37838639,3,успешный работа необходимый,уверенный мат часть Linux Network Storage Virtualization Containers orchestration engine,1
230,37838639,3,успешный работа необходимый,владение инструмент автоматизация управление инф рой Ansible SaltStack,1
231,37838639,3,успешный работа необходимый,опыт использование Jenkins Gitlab Gitlab runners,1
232,37838639,3,успешный работа необходимый,опыт построение кластерный система Corosync Pacemaker keepalived т.д.,1
233,37838639,3,успешный работа необходимый,опыт написание скрипт приложение Python Bash,1
234,37838639,3,успешный работа необходимый,понимание концепция SDN,1
235,37838639,4,предлагать,официальный трудоустройство тк рф,3
236,37838639,4,предлагать,стабильный достойный заработный плата,3
237,37838639,4,предлагать,график работа 5 2 пн пт гибкий начало день,3
238,37838639,4,предлагать,возможность удаленный работа,3
239,37838639,4,предлагать,ежеквартальный премия,3
240,37838639,4,предлагать,социальный пакет дмс оплата мобильный связь,3
241,37838639,4,предлагать,обучение внутри компания внешний курс,3
243,39793379,1,задача который предстоять решать,разработка микросервис,0
244,39793379,1,задача который предстоять решать,поддержка миграция бд,0
245,39793379,1,задача который предстоять решать,развитие продукт добавление новый фич,0
246,39793379,1,задача который предстоять решать,написание функциональный интеграционный тест,0
247,39793379,1,задача который предстоять решать,доработка рефакторинг существовать код Go Python Flutter,0
248,39793379,1,задача который предстоять решать,модификация усовершенствование поддержка инструмент мониторинг управление развернутый инфраструктура,0
249,39793379,1,задача который предстоять решать,участие проектирование архитектура,0
250,39793379,2,наш идеальный кандидат,знакомый язык программирование Go готовый изучать,1
251,39793379,2,наш идеальный кандидат,закончить высший технический образование,1
252,39793379,2,наш идеальный кандидат,знакомый принцип микросервисный архитектура иметь опыт разработка backend сервис,1
253,39793379,2,наш идеальный кандидат,навык проектирование реализация REST gRPC API,1
254,39793379,2,наш идеальный кандидат,иметь опыт работа субд MySQL Postgres,1
255,39793379,2,наш идеальный кандидат,работать Docker познать азы DevOps,1
256,39793379,2,наш идеальный кандидат,понимать суть принцип ооп шаблон проектирование,1
257,39793379,2,наш идеальный кандидат,понимать технический английский,1
258,39793379,2,наш идеальный кандидат,писать модульный интеграционный системный автотест,1
259,39793379,2,наш идеальный кандидат,обладать базовый представление протокол семейство TCP IP понимать принцип сетевой,1
260,39793379,2,наш идеальный кандидат,уверенно владеть скриптовый язык программирование цель автоматизация,1
261,39793379,3,наш пожелание,опыт добавление метрик мониторинг здоровье приложение,2
262,39793379,3,наш пожелание,опыт работа Git,2
263,39793379,3,наш пожелание,знание язык программирование например Node.js C# Python Rust Ruby,2
264,39793379,3,наш пожелание,опыт работа высоконагруженный система,2
265,39793379,3,наш пожелание,понимание принцип непрерывный поставка,2
266,39793379,3,наш пожелание,опыт разворачивание приложение кластер Kubernetes helm yaml,2
267,39793379,3,наш пожелание,уверенный работа Linux,2
268,39793379,4,предлагать,график работа 5 2 полный день работа офис,3
269,39793379,4,предлагать,опоздание мочь выбрать удобный время начало рабочий день,3
270,39793379,4,предлагать,свобода выбор стиль одежда,3
271,39793379,4,предлагать,достойный заработный плата обсуждать собеседование,3
272,39793379,4,предлагать,полный соблюдение трудовой законодательство,3
273,39793379,4,предлагать,офис рядом маротра славянский бульвар 7 минута пешком,3
274,39869759,0,требование,аналитический склад ум,1
275,39869759,0,требование,умение работать большой массив разнородный данные,1
276,39869759,0,требование,хороший знание SQL понимание python,1
277,39869759,0,требование,желание разбираться строительный сфера,1
278,39869759,1,обязанность,мониторинг анализ качество данные хранилище DWH,0
279,39869759,1,обязанность,развитие база знание самый система мониторинг качество данные,0
280,39869759,1,обязанность,анализ проблема неконсистентность данные постановка задача разработчик исправление,0
281,39869759,1,обязанность,взаимодействие бизнес заказчик возникать вопрос качество данные DWH,0
282,39869759,2,условие работа,конкурентный уровень заработный плата премия итог работа соответствие утвердить внутренний,4
283,39869759,2,условие работа,расширить программа дмс,4
284,39869759,2,условие работа,компенсация абонемент фитнес клуб 70 стоимость,4
285,39869759,2,условие работа,компенсация обучение английский язык 50 стоимость,4
286,39869759,2,условие работа,профессиональный обучение,4
287,39869759,2,условие работа,специальный условие кредит ипотека банк дом.рф сотрудник,4
288,39869759,2,условие работа,корпоративный скидка партнер группа дом.рф,4
289,39869759,2,условие работа,активный социальный жизнь спортивный интеллектуальный мероприятие благотворительность,4
290,39869759,2,условие работа,сократить рабочий день пятница,4
291,38901734,0,обязанность,построение модель визуализация информация формулирование вывод объяснение причина,0
292,38901734,0,обязанность,разработка автоматизация сопровождение отчетность,0
293,38901734,0,обязанность,сбор анализ статистический данные,0
294,38901734,0,обязанность,участие разработка новый проект оптимизация текущий постановка задача IT подразделениям,0
295,38901734,1,требование,высший технический математический образование,1
296,38901734,1,требование,знание SQL,1
297,38901734,1,требование,отличный знание MS Excel,1
298,38901734,1,требование,английский язык технический чтение,1
299,38901734,1,требование,аналитический склад ум структурированность ответственность,1
300,38901734,2,желательный,опыт работа отчетность знание SAP BO Tableau Python,2
301,38901734,2,желательный,опыт работа большой массив данные,2
302,38901734,2,желательный,знание принцип технология работа мпс MasterCard VISA мир,2
303,38901734,3,условие,работа комфортный офис метро водный стадион уютный офис панорамный вид,4
304,38901734,3,условие,профессиональный развитие постоянно проводить митап тренинг мастер класс твой распоряжение,4
305,38901734,3,условие,бесплатный вкусный обед уютный Tinkoff сafe захотеть перекусить каждый этаж,4
306,38901734,3,условие,забота здоровье оформить полис дмс стоматология страховка несчастный случай твой,4
307,38901734,3,условие,занятие бесплатный фитнес зал Tinkoff Sport пользоваться тренажер посещать групповой,4
308,38901734,3,условие,достойный твой профессиональный уровень зарплата,4
310,39912180,1,делать,участвовать разработка новый технология число прототипирование,0
311,39912180,1,делать,разрабатывать новый процесс производство контент,0
312,39912180,1,делать,помогать артский подразделение сопровождать работа,0
313,39912180,1,делать,находить решать проблема технический художественный характер,0
314,39912180,2,важный,технический образование опыт работа схожий область,1
315,39912180,2,важный,хороший художественный вкус рисунок 3D арт,1
316,39912180,2,важный,знание Maya Max Substance Designer Painter Хоэдini аналог,1
317,39912180,2,важный,общий понимание устройство графический подсистема современный игровой движок понимание принцип,1
318,39912180,2,важный,знание хотя следующий язык программирование HLSL GLSL Python C C++,1
319,39912180,2,важный,понимание принцип работа графический алгоритм AO SSR BRDF подобный,1
320,39912180,2,важный,умение готовность учиться,1
321,39912180,2,важный,умение работать команда хороший навык устный коммуникация,1
322,39912180,3,полезный,опыт написание собственный игровой движка,2
323,39912180,3,полезный,арт портфолио,2
324,39912180,3,полезный,английский язык уровень Intermediate высокий,2
326,38268227,1,делать команда,основной задача команда – обеспечение качество приложение ClinCheck Веб который,3
327,38268227,2,делать,команда работать методология Scrum недельный итерация демо бизнес пользователь конец,0
328,38268227,2,делать,заниматься ручной автоматический тестирование 20 регрессия покрыть авто тест тест,0
329,38268227,3,Infrastructure,Gул Jira Confluence HP QC свой фреймфорк запуск тест просмотр,1
330,38268227,4,искать опытный тестировщик автоматизатор который,иметь опыт тестирование 3 год,1
331,38268227,4,искать опытный тестировщик автоматизатор который,иметь опыт автоматизация тестирование 2 год Python TypeScript JavaScript,1
332,38268227,4,искать опытный тестировщик автоматизатор который,обладать аналитический мышление,1
333,38268227,4,искать опытный тестировщик автоматизатор который,мочь вести переписка общаться английский язык,1
334,38268227,5,здоровый,иметь опыт построение automation framework нуль,1
335,38268227,5,здоровый,иметь опыт автоматизация тестирование веб application 3D график Python TypeScript,1
336,38268227,5,здоровый,иметь опыт работа REST API запрос статья Python,1
337,38268227,5,здоровый,иметь опыт участие проект тестирование разработка Веб,1
338,38268227,5,здоровый,мочь быстро погрузиться тестирование сложный специфичный по.,1
339,38268227,6,делать проект команда,планировать работа автоматизация тестирование,3
340,38268227,6,делать проект команда,делать рефакторинг оптимизировать тест,3
341,38268227,6,делать проект команда,разрабатывать новый поддерживать существовать авто тест,3
342,38268227,6,делать проект команда,развивать framework повышать качество,3
343,38268227,6,делать проект команда,участвовать проектный релиз несколько год автоматизировать тестирование,3
344,38268227,6,делать проект команда,помогать команда развиваться,3
345,38268227,7,структура команда,команда находиться москва данный момент команда работать 8 человек,3
346,39461532,0,обязанность,администрирование ведение учет odoo,0
347,39461532,0,обязанность,внедрение новый ERP система компания,0
348,39461532,0,обязанность,ведение разработка odoo составление вариант реализация задача постановка задача программист,0
